date, pm25, pm10, o3, no2, so2, co
2024/4/1, 38, 20, 8, 7, , 
2024/4/2, 38, 19, 7, 8, , 
2024/4/3, 37, 19, 8, 8, , 
2024/4/4, 37, 18, 9, 6, , 
2024/4/5, 35, , , , , 
2024/1/1, 46, 32, 21, 21, , 
2024/1/2, 63, 20, 10, 20, , 
2024/1/3, 39, 30, 21, 25, , 
2024/1/4, 52, 39, 18, 29, , 
2024/1/5, 76, 27, 21, 25, , 
2024/1/6, 54, 30, 32, 22, , 
2024/1/7, 57, 24, 24, 18, , 
2024/1/8, 47, 21, 14, 10, , 
2024/1/9, 41, 26, 2, 8, , 
2024/1/10, 54, 30, 5, 8, , 
2024/1/11, 60, 23, 5, 9, , 
2024/1/12, 47, 26, 7, 9, , 
2024/1/13, 53, 25, 6, 8, , 
2024/1/14, 49, 18, 5, 8, , 
2024/1/15, 30, 15, 6, 7, , 
2024/1/16, 29, 20, 8, 7, , 
2024/1/17, 39, , , , , 
2024/1/25, 57, 30, 103, 11, , 
2024/1/26, 61, 25, 132, 11, , 
2024/1/27, 63, , 121, 10, , 
2024/2/1, 27, 15, 11, 9, , 
2024/2/2, 29, , 9, 7, , 
2024/2/4, 37, 23, 13, 9, , 
2024/2/5, 46, , 18, 12, , 
2024/2/7, 46, 25, 138, 11, , 
2024/2/8, 51, 21, 141, 8, , 
2024/2/9, 42, , 89, 7, , 
2024/2/19, 24, 27, 12, 9, , 
2024/2/20, 54, 24, 13, 11, , 
2024/2/21, 48, , 10, 10, , 
2024/3/3, 66, 32, 117, 19, , 
2024/3/4, 62, 25, 39, 12, , 
2024/3/5, 46, , 94, 12, , 
2024/3/14, 41, 35, 97, 14, , 
2024/3/15, 69, 33, 69, 14, , 
2024/3/16, 66, , 69, 16, , 
2024/3/25, 47, 20, 25, 13, , 
2024/3/26, 39, 28, 31, 11, , 
2024/3/27, 56, 30, 25, 15, , 
2024/3/28, 61, 23, 34, 16, , 
2024/3/29, 46, 22, 22, 12, , 
2024/3/30, 43, 19, 9, 8, , 
2024/3/31, 38, 19, 8, 8, , 
2023/10/1, 32, 17, 3, 9, , 
2023/10/2, 33, 20, 2, 9, , 
2023/10/3, 39, 17, 2, 9, , 
2023/10/4, 34, 18, 2, 9, , 
2023/10/5, 36, 24, 6, 11, , 
2023/10/6, 48, 26, 2, 12, , 
2023/10/7, 51, 12, 3, 10, , 
2023/10/8, 23, 13, 2, 10, , 
2023/10/9, 23, 15, 2, 8, , 
2023/10/10, 29, 10, 2, 9, , 
2023/10/11, 21, 15, 2, 9, , 
2023/10/12, 30, 19, 3, 11, , 
2023/10/13, 36, 33, 21, 13, , 
2023/10/14, 65, 24, 25, 14, , 
2023/10/15, 45, 28, 31, 19, , 
2023/10/16, 54, 34, 42, 26, , 
2023/10/17, 59, 28, 23, 22, , 
2023/10/18, 52, 10, 16, 14, , 
2023/10/19, 21, 12, 18, 13, , 
2023/10/20, 17, 11, 15, 20, , 
2023/10/21, 18, 7, 15, 17, , 
2023/10/22, 14, 20, 13, 24, , 
2023/10/23, 39, 17, 17, 23, , 
2023/10/24, 33, 20, 28, 26, , 
2023/10/25, 42, 24, 22, 29, , 
2023/10/26, 47, 26, 18, 26, , 
2023/10/27, 52, 19, 7, 20, , 
2023/10/28, 38, 20, 5, 14, , 
2023/10/29, 39, 8, 6, 15, , 
2023/10/30, 17, 21, 9, 16, , 
2023/10/31, 40, 30, 13, 15, , 
2023/11/1, 59, 33, 10, 18, , 
2023/11/2, 60, 18, 6, 14, , 
2023/11/3, 37, 14, 4, 12, , 
2023/11/4, 29, 14, 5, 12, , 
2023/11/5, 27, 17, 4, 14, , 
2023/11/6, 33, 21, 8, 16, , 
2023/11/7, 40, 22, 8, 16, , 
2023/11/8, 43, 8, 4, 11, , 
2023/11/9, 16, 6, 3, 10, , 
2023/11/10, 11, 10, 4, 12, , 
2023/11/11, 21, 18, 2, 16, , 
2023/11/12, 37, 12, 3, 11, , 
2023/11/13, 24, 13, 6, 13, , 
2023/11/14, 29, 26, 15, 23, , 
2023/11/15, 52, 16, 14, 19, , 
2023/11/16, 27, 18, 18, 19, , 
2023/11/17, 27, 24, 22, 26, , 
2023/11/18, 40, 27, 27, 28, , 
2023/11/19, 50, 30, 38, 28, , 
2023/11/20, 59, 34, 43, 28, , 
2023/11/21, 66, 37, 22, 30, , 
2023/11/22, 75, 28, 21, 23, , 
2023/11/23, 55, 43, 30, 27, , 
2023/11/24, 85, 39, 33, 27, , 
2023/11/25, 79, 29, 29, 20, , 
2023/11/26, 55, 41, 32, 24, , 
2023/11/27, 81, 47, 32, 28, , 
2023/11/28, 96, 45, 29, 28, , 
2023/11/29, 94, 23, 18, 22, , 
2023/11/30, 47, 22, 13, 17, , 
2023/12/1, 43, 33, 10, 26, , 
2023/12/2, 66, 40, 10, 25, , 
2023/12/3, 78, 29, 9, 15, , 
2023/12/4, 58, 15, 10, 20, , 
2023/12/5, 31, 25, 8, 21, , 
2023/12/6, 48, 27, 18, 20, , 
2023/12/7, 52, 25, 31, 26, , 
2023/12/8, 49, 22, 19, 23, , 
2023/12/9, 46, 18, 17, 20, , 
2023/12/10, 36, 18, 11, 19, , 
2023/12/11, 36, 18, 15, 19, , 
2023/12/12, 37, 34, 29, 24, , 
2023/12/13, 68, 20, 15, 17, , 
2023/12/14, 40, 12, 13, 18, , 
2023/12/15, 25, 14, 5, 17, , 
2023/12/16, 25, 16, 3, 17, , 
2023/12/17, 29, 24, 3, 21, , 
2023/12/18, 46, 14, 6, 12, , 
2023/12/19, 27, 18, 9, 19, , 
2023/12/20, 35, 27, 20, 22, , 
2023/12/21, 50, 35, 23, 21, , 
2023/12/22, 68, 42, 19, 26, , 
2023/12/23, 79, 37, 21, 25, , 
2023/12/24, 68, 30, 22, 25, , 
2023/12/25, 53, 42, 24, 32, , 
2023/12/26, 84, 48, 35, 30, , 
2023/12/27, 96, 42, 33, 30, , 
2023/12/28, 85, 35, 29, 35, , 
2023/12/29, 71, 27, 15, 25, , 
2023/12/30, 54, 31, 21, 22, , 
2023/12/31, 60, 23, 29, 21, , 
2023/7/1, 33, 11, 4, 5, , 
2023/7/2, 21, 7, 3, 5, , 
2023/7/3, 14, 6, 3, 5, , 
2023/7/4, 11, 4, 4, 5, , 
2023/7/5, 8, 10, 3, 5, , 
2023/7/6, 19, 13, 3, 5, , 
2023/7/7, 24, 11, 3, 5, , 
2023/7/8, 22, 11, 3, 5, , 
2023/7/9, 22, 14, 3, 5, , 
2023/7/10, 27, 10, 4, 5, , 
2023/7/11, 21, 10, 5, 5, , 
2023/7/12, 19, 17, 5, 6, , 
2023/7/13, 33, 14, 4, 7, , 
2023/7/14, 27, 22, 4, 7, , 
2023/7/15, 43, 35, 6, 8, , 
2023/7/16, 69, 26, 3, 10, , 
2023/7/17, 46, 19, 7, 5, , 
2023/7/18, 38, 20, 2, 10, , 
2023/7/19, 41, 10, 2, 7, , 
2023/7/20, 20, 7, 7, 6, , 
2023/7/21, 13, 8, 4, 6, , 
2023/7/22, 15, , , , , 
2023/7/27, 15, 28, 6, 8, , 
